prompt,learning_rate,epoch,max_iter,batch_size,country,region,model_path,test_loss,test_pearson_corr,test_pearson_p_value
paper,0.01,100,100,32,argentina,,probes/keen_probe_latam_lr_0.01_epoch_100_paper_argentina_model.pkl,0.11441618204116821,0.1638477,0.05664489511339334
paper,0.01,100,100,32,chile,,probes/keen_probe_latam_lr_0.01_epoch_100_paper_chile_model.pkl,0.07113979756832123,-0.11639117,0.19797889001205235
paper,0.01,100,100,32,colombia,,probes/keen_probe_latam_lr_0.01_epoch_100_paper_colombia_model.pkl,0.04605687037110329,0.06855905,0.4109348278069334
paper,0.01,100,100,32,costa_rica,,probes/keen_probe_latam_lr_0.01_epoch_100_paper_costa_rica_model.pkl,0.016391130164265633,-0.07085704,0.36431601132295405
paper,0.01,100,100,32,cuba,,probes/keen_probe_latam_lr_0.01_epoch_100_paper_cuba_model.pkl,0.047915197908878326,0.024607746,0.7802511339747414
paper,0.01,100,100,32,ecuador,,probes/keen_probe_latam_lr_0.01_epoch_100_paper_ecuador_model.pkl,0.019459610804915428,-0.030146139,0.7217369736285759
paper,0.01,100,100,32,el_salvador,,probes/keen_probe_latam_lr_0.01_epoch_100_paper_el_salvador_model.pkl,0.010163960047066212,0.10930991,0.1743449923848457
paper,0.01,100,100,32,guatemala,,probes/keen_probe_latam_lr_0.01_epoch_100_paper_guatemala_model.pkl,0.010880018584430218,-0.016421,0.841913960162684
paper,0.01,100,100,32,honduras,,probes/keen_probe_latam_lr_0.01_epoch_100_paper_honduras_model.pkl,0.01764649711549282,0.03954945,0.5940143694074091
paper,0.01,100,100,32,mexico,,probes/keen_probe_latam_lr_0.01_epoch_100_paper_mexico_model.pkl,0.0993468165397644,0.043858424,0.6537474978877034
paper,0.01,100,100,32,nicaragua,,probes/keen_probe_latam_lr_0.01_epoch_100_paper_nicaragua_model.pkl,0.00932775903493166,0.07010609,0.4004329032284651
paper,0.01,100,100,32,panama,,probes/keen_probe_latam_lr_0.01_epoch_100_paper_panama_model.pkl,0.01882661134004593,-0.033859935,0.676760852375888
paper,0.01,100,100,32,paraguay,,probes/keen_probe_latam_lr_0.01_epoch_100_paper_paraguay_model.pkl,0.009673023596405983,0.03116517,0.6796318474574222
paper,0.01,100,100,32,peru,,probes/keen_probe_latam_lr_0.01_epoch_100_paper_peru_model.pkl,0.004171845968812704,-0.113449335,0.23152443771559067
paper,0.01,100,100,32,republica_dominicana,,probes/keen_probe_latam_lr_0.01_epoch_100_paper_republica_dominicana_model.pkl,0.013179749250411987,nan,nan
paper,0.01,100,100,32,usa,,probes/keen_probe_latam_lr_0.01_epoch_100_paper_usa_model.pkl,0.06827957928180695,0.03864275,0.727096523121422
paper,0.01,100,100,32,venezuela,,probes/keen_probe_latam_lr_0.01_epoch_100_paper_venezuela_model.pkl,0.011285405606031418,0.088272676,0.3160525631451289
en,0.01,100,100,32,argentina,,probes/keen_probe_latam_lr_0.01_epoch_100_en_argentina_model.pkl,0.11441618204116821,0.18799073,0.02840316439320541
en,0.01,100,100,32,chile,,probes/keen_probe_latam_lr_0.01_epoch_100_en_chile_model.pkl,0.07113979756832123,-0.06341686,0.4840941707455565
en,0.01,100,100,32,colombia,,probes/keen_probe_latam_lr_0.01_epoch_100_en_colombia_model.pkl,0.04605687037110329,0.04865361,0.5597747849366654
en,0.01,100,100,32,costa_rica,,probes/keen_probe_latam_lr_0.01_epoch_100_en_costa_rica_model.pkl,0.016391130164265633,-0.0054710945,0.9442269305858983
en,0.01,100,100,32,cuba,,probes/keen_probe_latam_lr_0.01_epoch_100_en_cuba_model.pkl,0.047915197908878326,0.042437557,0.6303162966139455
en,0.01,100,100,32,ecuador,,probes/keen_probe_latam_lr_0.01_epoch_100_en_ecuador_model.pkl,0.019459610804915428,0.06165754,0.4660418284899749
en,0.01,100,100,32,el_salvador,,probes/keen_probe_latam_lr_0.01_epoch_100_en_el_salvador_model.pkl,0.010163960047066212,0.10822431,0.1786889004152747
en,0.01,100,100,32,guatemala,,probes/keen_probe_latam_lr_0.01_epoch_100_en_guatemala_model.pkl,0.010880018584430218,-0.016421001,0.841913960162684
en,0.01,100,100,32,honduras,,probes/keen_probe_latam_lr_0.01_epoch_100_en_honduras_model.pkl,0.01764649711549282,-0.014999654,0.8398466395424721
en,0.01,100,100,32,mexico,,probes/keen_probe_latam_lr_0.01_epoch_100_en_mexico_model.pkl,0.0993468165397644,0.14309435,0.14146113056544005
en,0.01,100,100,32,nicaragua,,probes/keen_probe_latam_lr_0.01_epoch_100_en_nicaragua_model.pkl,0.00932775903493166,0.007184689,0.9314119744852031
en,0.01,100,100,32,panama,,probes/keen_probe_latam_lr_0.01_epoch_100_en_panama_model.pkl,0.01882661134004593,nan,nan
en,0.01,100,100,32,paraguay,,probes/keen_probe_latam_lr_0.01_epoch_100_en_paraguay_model.pkl,0.009673023596405983,-0.021879636,0.7719008793685579
en,0.01,100,100,32,peru,,probes/keen_probe_latam_lr_0.01_epoch_100_en_peru_model.pkl,0.004171845968812704,-0.10183659,0.2831390905598969
en,0.01,100,100,32,republica_dominicana,,probes/keen_probe_latam_lr_0.01_epoch_100_en_republica_dominicana_model.pkl,0.013179749250411987,nan,nan
en,0.01,100,100,32,usa,,probes/keen_probe_latam_lr_0.01_epoch_100_en_usa_model.pkl,0.06827957928180695,nan,nan
en,0.01,100,100,32,venezuela,,probes/keen_probe_latam_lr_0.01_epoch_100_en_venezuela_model.pkl,0.011285405606031418,-0.012489807,0.8874056923872505
es,0.01,100,100,32,argentina,,probes/keen_probe_latam_lr_0.01_epoch_100_es_argentina_model.pkl,0.11441618204116821,0.13605316,0.11425643532239985
es,0.01,100,100,32,chile,,probes/keen_probe_latam_lr_0.01_epoch_100_es_chile_model.pkl,0.07113979756832123,-0.044839922,0.6209469093272912
es,0.01,100,100,32,colombia,,probes/keen_probe_latam_lr_0.01_epoch_100_es_colombia_model.pkl,0.04605687037110329,-0.051948566,0.5334672511010841
es,0.01,100,100,32,costa_rica,,probes/keen_probe_latam_lr_0.01_epoch_100_es_costa_rica_model.pkl,0.016391130164265633,0.015243328,0.845452941723123
es,0.01,100,100,32,cuba,,probes/keen_probe_latam_lr_0.01_epoch_100_es_cuba_model.pkl,0.047915197908878326,0.04490611,0.6105382405551434
es,0.01,100,100,32,ecuador,,probes/keen_probe_latam_lr_0.01_epoch_100_es_ecuador_model.pkl,0.019459610804915428,0.11583347,0.16983286493429958
es,0.01,100,100,32,el_salvador,,probes/keen_probe_latam_lr_0.01_epoch_100_es_el_salvador_model.pkl,0.010163960047066212,0.11564904,0.150528604962028
es,0.01,100,100,32,guatemala,,probes/keen_probe_latam_lr_0.01_epoch_100_es_guatemala_model.pkl,0.010880018584430218,-0.05118812,0.5338844774533372
es,0.01,100,100,32,honduras,,probes/keen_probe_latam_lr_0.01_epoch_100_es_honduras_model.pkl,0.01764649711549282,-0.041269712,0.578052969442346
es,0.01,100,100,32,mexico,,probes/keen_probe_latam_lr_0.01_epoch_100_es_mexico_model.pkl,0.0993468165397644,0.124892935,0.1999290550218322
es,0.01,100,100,32,nicaragua,,probes/keen_probe_latam_lr_0.01_epoch_100_es_nicaragua_model.pkl,0.00932775903493166,0.0065930914,0.9370477986554047
es,0.01,100,100,32,panama,,probes/keen_probe_latam_lr_0.01_epoch_100_es_panama_model.pkl,0.01882661134004593,nan,nan
es,0.01,100,100,32,paraguay,,probes/keen_probe_latam_lr_0.01_epoch_100_es_paraguay_model.pkl,0.009673023596405983,-0.03100348,0.6812026578642248
es,0.01,100,100,32,peru,,probes/keen_probe_latam_lr_0.01_epoch_100_es_peru_model.pkl,0.004171845968812704,nan,nan
es,0.01,100,100,32,republica_dominicana,,probes/keen_probe_latam_lr_0.01_epoch_100_es_republica_dominicana_model.pkl,0.013179749250411987,nan,nan
es,0.01,100,100,32,usa,,probes/keen_probe_latam_lr_0.01_epoch_100_es_usa_model.pkl,0.06827957928180695,-0.039705373,0.7198983069761349
es,0.01,100,100,32,venezuela,,probes/keen_probe_latam_lr_0.01_epoch_100_es_venezuela_model.pkl,0.011285405606031418,-0.050464906,0.5670334230296445
paper,0.01,100,100,32,,latam,probes/keen_probe_latam_lr_0.01_epoch_100_paper_latam_model.pkl,0.024939579889178276,0.0667115,0.0013071288199280244
paper,0.01,100,100,32,,usa,probes/keen_probe_latam_lr_0.01_epoch_100_paper_usa_model.pkl,0.06827957928180695,0.03864275,0.727096523121422
en,0.01,100,100,32,,latam,probes/keen_probe_latam_lr_0.01_epoch_100_en_latam_model.pkl,0.024939579889178276,0.07815053,0.00016512239253981423
en,0.01,100,100,32,,usa,probes/keen_probe_latam_lr_0.01_epoch_100_en_usa_model.pkl,0.06827957928180695,nan,nan
es,0.01,100,100,32,,latam,probes/keen_probe_latam_lr_0.01_epoch_100_es_latam_model.pkl,0.024939579889178276,0.03385135,0.10315744636966581
es,0.01,100,100,32,,usa,probes/keen_probe_latam_lr_0.01_epoch_100_es_usa_model.pkl,0.06827957928180695,-0.039705373,0.7198983069761349
